TEMPLATE_ID,SUBJECT_ID,FILENAME,SIGHTING_ID,FACE_X,FACE_Y,FACE_WIDTH,FACE_HEIGHT,RIGHT_EYE_X,RIGHT_EYE_Y,LEFT_EYE_X,LEFT_EYE_Y,NOSE_X,NOSE_Y,FRAME_NUM
1,1,img/116262.jpg,69544,268,32,40,47,288.867049153646,53.9155314127604,295.957405598958,53.3203694661458,291.519999186198,60.8,NaN
1,1,img/4702.jpeg,3720,93.234,84.6754,76.4128,100.2162,133.4,133.6,157.857142857143,136.571428571429,148,151.076923076923,NaN
1,1,img/2597.jpg,3,68.6013,63.4018,138.6445,166.159,166,160.4,192.833333333333,157.833333333333,183.333333333333,186.416666666667,NaN
1,1,img/2416.jpg,1,32.3802,25.7938,119.6015,149.6383,78,100.166666666667,118.142857142857,101,99.4166666666667,126.083333333333,NaN
1,1,img/5127.jpg,3726,159.3735,36.5397,56.4141,75.9728,174.6,77.2,194.666666666667,77.3333333333333,185.461538461538,89,NaN
1,1,img/116526.jpg,69607,2211,699,337,380,2290.06667073568,869.633331298828,2400.96990966797,866.873143513997,2345.19211832682,943.030548095703,NaN
1,1,img/3905.jpeg,3727,99.2167,40.2542,112.306,146.1049,192.8,125.2,NaN,NaN,202.307692307692,147.230769230769,NaN
2,4,img/4781.jpg,7907,2694.5101,785.2143,552.5191,681.234,NaN,NaN,2760.3,1165.1,2769.90909090909,1275.90909090909,NaN
2,4,img/3718.jpg,7915,1316.0713,1095.2181,319.4356,395.9916,1582.2,1316.9,1609.57142857143,1308.57142857143,1612.08333333333,1376.91666666667,NaN
2,4,img/55539.jpg,33727,604.2726,160.4462,268.7211,323.2518,694.4,325.4,794.2,314.6,757.8,382,NaN
2,4,img/192.jpg,7921,717,578.1218,885.8685,982.8047,1250.77777777778,1071,1480.8,1067.6,1423.18181818182,1259.09090909091,NaN
2,4,img/2921.jpg,37,473.2848,290.5659,123.4766,168.4265,502.571428571429,380.666666666667,548.5,381.3,522.142857142857,411.285714285714,NaN
2,4,img/2653.jpg,7912,3872.1431,436.9767,265.6185,356.5003,3905.5,634.375,3961.5,626.9,3917,693.461538461538,NaN
2,4,img/1344.jpg,27,71.2471,33.7181,139.2316,169.5465,145,126,191.818181818182,125.363636363636,175.692307692308,159.230769230769,NaN
2,4,img/1231.jpg,25,93.3902,32.3895,262.4583,333.0069,125.4,205.6,196.727272727273,206.363636363636,146.769230769231,269,NaN
2,4,img/1333.jpg,7875,1723.5,532.5,232.5,278.5,1751.8,667.2,1793.2,678,1753.15384615385,721.307692307692,NaN
2,4,img/55538.jpg,33726,397.4515,989.4225,305.3132,390.8289,504.166666666667,1196,610.166666666667,1191,558.8,1266.6,NaN
2,4,img/55557.jpg,33729,321,222,222,288,450.625,371.25,516.6,373.2,495.6,423.2,NaN
2,4,img/55537.jpg,33725,327,140,217,224,487.8,218,533,225.2,525.6,274,NaN
2,4,img/55558.jpg,33730,1263,199,193,238,1282.2,313.6,1317.4,306.4,1285,357,NaN
2,4,img/55536.jpg,33724,424.6765,126.8447,165.3348,236.5251,482.6,251.6,545,254.4,514,293.6,NaN
2,4,img/5164.jpg,7918,703.9737,731.7649,489.7572,663.4632,856.818181818182,1083.72727272727,1046.11111111111,1070.88888888889,968.444444444444,1202.33333333333,NaN
2,4,img/4566.jpg,7876,97.6648,92.0659,49.8893,53.5261,136.8,120.3,NaN,NaN,143.5,128,NaN
2,4,img/1800.jpg,7926,155.8233,97.0443,73.0134,92.6889,188.7,147.6,212.7,144.9,203.461538461538,162.461538461538,NaN
2,4,img/1226.jpeg,7862,335.8717,51.9609,43.6958,57.4542,349.363636363636,85.6363636363636,364.818181818182,85.4545454545455,356.909090909091,96,NaN
2,4,img/2313.jpg,7908,714.417,996.7454,696.705,758.3137,1247.44444444444,1359,1335.8,1358.5,1373.38461538462,1495.84615384615,NaN
2,4,img/55535.jpg,33723,664.0209,196.4681,124.9858,155.001,685.2,269,729.25,260.25,707.2,298.2,NaN
2,4,img/55631.jpg,33734,1338.0868,1617.2648,354.5917,401.4923,1557.4,1826.4,1645.2,1831.8,1618.4,1903.4,NaN
3,5,img/980.jpg,6174,217.2881,30.8555,165.4743,230.4257,307,162.7,359.777777777778,159,343.416666666667,206.75,NaN
3,5,img/4630.jpg,6168,586.4006,16.4447,294.6757,341.9581,NaN,NaN,631.111111111111,199.666666666667,610.875,251.25,NaN
3,5,img/4851.png,6179,1377.5435,544.9487,166.4139,205.2354,1438,657.888888888889,1486.92307692308,654.692307692308,1464.72727272727,693.818181818182,NaN
3,5,img/1723.jpg,6157,235.2024,107.2265,148.1262,190.7491,293.727272727273,205.727272727273,343.5,205.7,320.416666666667,239.166666666667,NaN
3,5,img/4591.jpg,6144,213.736,104.3589,86.2718,110.9566,256,164.3,282.4,163.6,271.916666666667,183.083333333333,NaN
3,5,img/4401.jpg,42,321.3561,69.9952,85.3061,95.4859,366.090909090909,115.272727272727,389.5,114.4,382.076923076923,132.153846153846,NaN
3,5,img/2630.jpg,6193,151,187.8029,72.9327,99.8654,171.666666666667,245.333333333333,198.8,241.8,187.230769230769,262.769230769231,NaN
3,5,img/4080.jpg,48,128.4719,68.7806,55.7332,70.3354,146.777777777778,107.555555555556,165.1,106.6,156.692307692308,119.076923076923,NaN
3,5,img/1654.jpg,6146,22.9391,17.558,108.0821,134.8885,117.454545454545,89.6363636363636,NaN,NaN,123.25,112.416666666667,NaN
3,5,img/4673.jpg,6139,90,130,68,82,141.090909090909,180.818181818182,154.7,176.7,151.454545454545,192.363636363636,NaN
3,5,img/989.jpg,6172,101.5936,2.8224,97.9024,126.2904,186.111111111111,74.6666666666667,NaN,NaN,192.461538461538,94.6153846153846,NaN
3,5,img/2461.jpg,6133,132.5101,226.8452,96.2348,128.0198,166.8,285.2,204,290.818181818182,182.769230769231,311.384615384615,NaN
3,5,img/2039.jpg,6130,122.2809,61.0585,110.3014,148.4755,157.7,149.7,189.7,141.1,178.769230769231,170.923076923077,NaN
3,5,img/702.jpg,6153,126.2769,82.4462,40.4256,47.5538,138.666666666667,105.111111111111,153.1,104.7,145.153846153846,113.076923076923,NaN
3,5,img/4995.jpg,6141,93.6648,153.3846,118.4942,160.6853,143.7,247.6,183,237.7,170.076923076923,273.461538461538,NaN
3,5,img/3492.jpg,6138,122.8216,85.8811,115.8424,147.5238,154.7,164.5,191.5,159.6,174.615384615385,190,NaN
3,5,img/4149.jpg,46,21.3195,7.3103,127.7982,167.2175,61.9090909090909,98,104.909090909091,96.6363636363636,81.5384615384615,131.230769230769,NaN
3,5,img/5129.jpg,6162,188,86,55,70,219.35,125.6,234.475,123.95,230.625,138.25,NaN
3,5,img/1836.jpg,6166,360.7176,23.8383,51.8653,69.6087,368,61.4,382.8,59.4,373.5,73.25,NaN
4,7,img/3204.jpg,3861,784.5869,232.8507,275.9897,331.9529,838.6,411.2,923.272727272727,403.727272727273,880.153846153846,477.846153846154,NaN
4,7,img/3498.jpg,3847,566.2458,91.7337,90.6913,85.4009,NaN,NaN,587.142857142857,139.571428571429,575,153.153846153846,NaN
4,7,img/274.jpg,3848,1279.9665,962.1427,75.2898,101.527,1325.55555555556,1020,1344.11111111111,1021.22222222222,1335.58333333333,1038.91666666667,NaN
4,7,img/2338.jpg,3843,322.3246,177.9174,524.0009,663.9528,785.7,626,NaN,NaN,763.5,713.5,NaN
5,8,img/3100.jpg,3798,1935.132,1087.7469,120.3563,163.0976,2003.5,1174,2050.5,1182,2030.5,1215,NaN
5,8,img/4639.jpg,3488,322.6126,186.617,81.7957,105.4106,337.666666666667,244.166666666667,361.727272727273,237.454545454545,350.25,259.083333333333,NaN
5,8,img/3455.jpg,11030,1629.5673,231.6257,148.8756,193.9442,1672.6,331,1722.1,321.9,1699.16666666667,357.833333333333,NaN
